Customer Prompt,Seller Response
"I'm looking for a bottle for my friend, can you help?","Yes, we do! What color or size are you looking for?"
Ni true inakam maji hot for long?,"Ni aje, tuko nazo mob! Unataka design gani?"
Hii mug ni bei gani?,Bei inaanzia 500 hadi 2000 KES kulingana na aina.
"I'm looking for a bottle for my friend, can you help?","Yes, we offer engraving and printing services too."
Can I get a customized mug?,"Sure, we have many styles. What's your budget?"
Ni true inakam maji hot for long?,"Eeh, tunaeza customize vile unataka."
Hii bottle inaweza kuweka maji ya moto?,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
Do your bottles keep drinks hot?,Prices range from 500 to 2000 KES depending on the type.
"I'm looking for a thermocup for my friend, can you help?",Prices range from 500 to 2000 KES depending on the type.
Do your bottles keep drinks hot?,"Yes, we do! What color or size are you looking for?"
Hii thermocup inaweza kuweka maji ya moto?,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
Uneza chora jina kwa hii bottle?,"True kabisa, inadumu hadi 8 hrs bila stress."
Hii bottle ni bei gani?,"Ndio, inaweka maji ya moto hadi masaa 8."
Ni true inakam maji hot for long?,"Ni 800 KES tu, legit stuff."
"Hi, do you have any mugs in stock?","Yes, we do! What color or size are you looking for?"
What are the prices for your mugs?,"Yes, we do! What color or size are you looking for?"
Do your bottles keep drinks hot?,Prices range from 500 to 2000 KES depending on the type.
Hii thermocup ni how much?,"Tucheki budget yako, nitakutafutia kitu fiti."
Unauza thermocups za aina gani?,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
"Aje, uko na mug ya form?","True kabisa, inadumu hadi 8 hrs bila stress."
Can I get a customized mug?,"Sure, we have many styles. What's your budget?"
"Niaje, uko na zile mablack mugs?","Ziko buda! Size gani unataka, ile ndogo au ile kubwa?"
Ni true inakam maji hot for long?,"Tucheki budget yako, nitakutafutia kitu fiti."
Hii mug ni bei gani?,"Tuko na aina tofauti tofauti, unataka ya plastiki au chuma?"
Mnaweza kuniwekea jina kwa hii bottle?,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
Can I get a customized bottle?,Prices range from 500 to 2000 KES depending on the type.
Uneza chora jina kwa hii bottle?,"Eeh, tunaeza customize vile unataka."
Unauza mugs za aina gani?,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
Can I get a customized bottle?,"Yes, we offer engraving and printing services too."
Ni true inakam maji hot for long?,"Eeh, tunaeza customize vile unataka."
Nataka mug nzuri ya zawadi.,"Tuko na aina tofauti tofauti, unataka ya plastiki au chuma?"
Uneza chora jina kwa hii bottle?,"Ni aje, tuko nazo mob! Unataka design gani?"
"I'm looking for a bottle for my friend, can you help?","Sure, we have many styles. What's your budget?"
Hii mug inaweza kuweka maji ya moto?,Bei inaanzia 500 hadi 2000 KES kulingana na aina.
Hii thermocup inaweza kuweka maji ya moto?,"Ndio, tuna customize kwa jina au picha."
Hii mug inaweza kuweka maji ya moto?,Bei inaanzia 500 hadi 2000 KES kulingana na aina.
"Aje, uko na mug ya form?","True kabisa, inadumu hadi 8 hrs bila stress."
Hii thermocup ni how much?,"Ni aje, tuko nazo mob! Unataka design gani?"
Unauza thermocups za aina gani?,"Ndio, tuna customize kwa jina au picha."
Hii bottle ni how much?,"True kabisa, inadumu hadi 8 hrs bila stress."
"Aje, uko na bottle ya form?","Ni 800 KES tu, legit stuff."
Ni true inakam maji hot for long?,"Tucheki budget yako, nitakutafutia kitu fiti."
Unauza bottles za aina gani?,"Ndio, inaweka maji ya moto hadi masaa 8."
